Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
"Nephrology Associates Medical Group, Inc",CA,Healthcare Provider,4631.0,2026-02-27,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Manhattan Retirement Foundation d/b/a Meadowlark Hills,KS,Healthcare Provider,14442.0,2026-02-26,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Orthopaedic Specialists of Massachusetts, PC",MA,Healthcare Provider,20659.0,2026-02-26,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"BMG of Kansas, Inc.",KS,Health Plan,1327.0,2026-02-26,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
AltaMed Health Services Corporation,CA,Healthcare Provider,501.0,2026-02-26,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Couve Healthcare Consulting, LLC DBA Evergreen Healthcare Group",WA,Business Associate,11795.0,2026-02-24,2026,Hacking/IT Incident,Hacking/IT Incident,Electronic Medical Record,Yes,Under Investigation,3
Weill Cornell Medicine,NY,Healthcare Provider,516.0,2026-02-23,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Under Investigation,1
"QualDerm Partners, LLC",TN,Healthcare Provider,3117874.0,2026-02-22,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Option Care Health, Inc.",IL,Healthcare Provider,2086.0,2026-02-20,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Perseus House, Inc.",PA,Healthcare Provider,969.0,2026-02-20,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
The Center for Advanced Eye Care,ME,Healthcare Provider,9300.0,2026-02-20,2026,Hacking/IT Incident,Hacking/IT Incident,"Network Server, Other",No,Under Investigation,0
VNS Behavioral Health Inc. (“VNS Health”),NY,Healthcare Provider,739.0,2026-02-18,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Builders FirstSource Flex Plan,TX,Health Plan,1514.0,2026-02-18,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
Emanuel Medical Center,GA,Healthcare Provider,28963.0,2026-02-17,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Easterseals Northeast Indiana,IN,Healthcare Provider,3158.0,2026-02-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
44North,MI,Business Associate,2158.0,2026-02-16,2026,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Under Investigation,3
"Wee Care Pediatrics, LLC",UT,Healthcare Provider,2127.0,2026-02-14,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
National Association on Drug Abuse Problems,NY,Healthcare Provider,90000.0,2026-02-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
VPS Medical PLLC,PA,Healthcare Provider,4600.0,2026-02-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Academic Urology & Urogynecology of Arizona,AZ,Healthcare Provider,73281.0,2026-02-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Cedar Valley Services,MN,Healthcare Provider,501.0,2026-02-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Resource Corporation of America,TX,Business Associate,501.0,2026-02-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Cedar Point Health, LLC",CO,Healthcare Provider,23114.0,2026-02-12,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Counseling Center of Wayne & Holmes Counties,OH,Healthcare Provider,83354.0,2026-02-09,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Wendy Foster OD,KS,Healthcare Provider,20000.0,2026-02-09,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Carolina Foot & Ankle Associates,NC,Healthcare Provider,501.0,2026-02-09,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Marin Cancer Care,CA,Healthcare Provider,501.0,2026-02-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
TriZetto Provider Solutions,MO,Business Associate,3433965.0,2026-02-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Apex Spine & Neurosurgery, LLC",GA,Healthcare Provider,2500.0,2026-02-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Triad Radiology Associates,NC,Healthcare Provider,11011.0,2026-02-06,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Cottage Hospital,NH,Healthcare Provider,1005.0,2026-02-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
WIRX Pharmacy,PA,Healthcare Provider,20047.0,2026-02-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Personalis, Inc.",CA,Healthcare Provider,650.0,2026-02-04,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Issaqueena Pediatric Dentistry PA,SC,Healthcare Provider,501.0,2026-02-04,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Fair Oaks Ortho P.C.,VA,Healthcare Provider,1544.0,2026-02-02,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"High Point Treatment Center, Inc.",MA,Healthcare Provider,25832.0,2026-01-30,2026,Hacking/IT Incident,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,Under Investigation,0
"BAYADA Home Health Care, Inc.",NJ,Healthcare Provider,9526.0,2026-01-30,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,0
Clinic Service Corporation,CO,Business Associate,82331.0,2026-01-28,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Wound Technology Network, Inc.",FL,Healthcare Provider,139830.0,2026-01-28,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
WindRose Health Network,IN,Healthcare Provider,9087.0,2026-01-27,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Central States Dermatology Services, LLC",IL,Healthcare Provider,4626.0,2026-01-26,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Jefferson-Blount-St. Clair Mental Health Authority,AL,Healthcare Provider,30434.0,2026-01-23,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Precipio, Inc.",CT,Healthcare Provider,501.0,2026-01-23,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Surgery Center of Oak Ridge, LLC dba Advanced Family Surgery Center",TN,Healthcare Provider,10320.0,2026-01-23,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"True RCM, a Rapid Care Transcription, Inc., Company",MD,Business Associate,1247.0,2026-01-20,2026,Hacking/IT Incident,Hacking/IT Incident,Desktop Computer,Yes,Under Investigation,3
Middlesex Sheriff's Office,MA,Healthcare Provider,501.0,2026-01-20,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Benton County Health,OR,Healthcare Provider,1476.0,2026-01-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,0
"Insightin Health, Inc.",MD,Business Associate,1949534.0,2026-01-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Central Texas MHMR Center dba Center for Life Resource,TX,Healthcare Provider,501.0,2026-01-16,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Minnesota Department of Human Services,MN,Health Plan,303965.0,2026-01-16,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Under Investigation,2
Superior Care Plus LLC d/b/a Supportive Home Health LLC,OH,Healthcare Provider,1415.0,2026-01-16,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Administrators of the Tulane Educational Fund d/b/a Tulane University Medical Group,LA,Healthcare Provider,6556.0,2026-01-15,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
360 Dental PC,PA,Healthcare Provider,11273.0,2026-01-15,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Southern Immediate Care, LLC",AL,Healthcare Provider,7447.0,2026-01-15,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Florence County Commission on Alcohol & Drug Abuse – dba Circle Park Behavioral Health Services (“Circle Park”),SC,Healthcare Provider,7020.0,2026-01-14,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Pinnacle Holdings, LTD",PA,Business Associate,18313.0,2026-01-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"TMG Health, Inc.",TX,Business Associate,2076.0,2026-01-13,2026,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Under Investigation,3
"FullBeauty Brands, Inc. Associate Benefits Plan",NY,Health Plan,4725.0,2026-01-13,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
Avosina Healthcare Solutions,VA,Business Associate,44425.0,2026-01-10,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Home, Hope and Healing, Inc.",ME,Healthcare Provider,501.0,2026-01-09,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"The Center for Neuropsychology and Learning, PC",MI,Healthcare Provider,3722.0,2026-01-09,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Central Ozarks Medical Center,MO,Healthcare Provider,11818.0,2026-01-09,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Devereux Foundation,PA,Healthcare Provider,501.0,2026-01-08,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"ABKSW PREFERRED HEALTH PARTNERS, PLLC d/b/a NORTH TEXAS PREFERRED HEALTH PARTNERS",TX,Healthcare Provider,2074.0,2026-01-08,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,0
Methodist Homes of Alabama and Northwest Florida,AL,Healthcare Provider,1406.0,2026-01-06,2026,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Pit River Health Service Inc.,CA,Healthcare Provider,1800.0,2026-01-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Iowa Health and Human Services,IA,Health Plan,3340.0,2026-01-06,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,2
Texas Health and Human Services Commission,TX,Health Plan,68066.0,2026-01-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,2
"Mid Michigan Medical Billing Service, Inc.",MI,Business Associate,28185.0,2026-01-05,2026,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Pines of Sarasota Healthcare, LLC",FL,Healthcare Provider,1258.0,2025-12-31,2025,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Standards Home Health, Inc.",TX,Healthcare Provider,6847.0,2025-12-31,2025,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Andover Eye Associates,MA,Healthcare Provider,1638.0,2025-12-31,2025,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Steel Encounters, Inc.",UT,Healthcare Provider,959.0,2025-12-31,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Advantage Capital Holdings LLC,UT,Health Plan,26343.0,2025-12-30,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,2
"Associated Radiologists of the Finger Lakes, P.C.",NY,Business Associate,501.0,2025-12-29,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Docs Medical Group, Inc. dba Pulse Urgent Care",CA,Healthcare Provider,4035.0,2025-12-28,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
CareOregon,OR,Health Plan,6988.0,2025-12-26,2025,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Under Investigation,2
"BlueCross BlueShield of Tennessee, Inc.",TN,Business Associate,780.0,2025-12-26,2025,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Under Investigation,3
Glendale Obstetrics & Gynecology PCA,AZ,Healthcare Provider,501.0,2025-12-24,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
AllerVie Health,TX,Healthcare Provider,80521.0,2025-12-23,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Reproductive Medicine Associates of Michigan,MI,Healthcare Provider,501.0,2025-12-19,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Mitchell County Department of Social Services,NC,Healthcare Provider,501.0,2025-12-19,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Medical Center, LLP",GA,Healthcare Provider,32090.0,2025-12-19,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
North East Medical Services,CA,Healthcare Provider,91513.0,2025-12-18,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Excellent Home Care Services, LLC",NY,Healthcare Provider,16278.0,2025-12-17,2025,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
FPMCM LLC,TN,Business Associate,2072.0,2025-12-15,2025,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Under Investigation,3
"OCAT, LLC dba Evoke Wellness at Hilliard",OH,Healthcare Provider,1629.0,2025-12-12,2025,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Under Investigation,1
"Fieldtex Products, Inc.",NY,Business Associate,104071.0,2025-12-12,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Heywood Healthcare Inc. including Henry Heywood Memorial Hospital, Athol Memorial Hospital, and Heywood Medical Group, Inc. (“Heywood”)",MA,Healthcare Provider,500.0,2025-12-12,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Brevard Skin and Cancer Center,FL,Healthcare Provider,54570.0,2025-12-12,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Baltimore Medical System, Inc.",MA,Healthcare Provider,501.0,2025-12-12,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Centric Health,CA,Healthcare Provider,6855.0,2025-12-10,2025,Hacking/IT Incident,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,Under Investigation,0
"Southern Oregon Neurosurgical and Spine Associates, PC",OR,Healthcare Provider,1000.0,2025-12-09,2025,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Green Imaging, LLC",TX,Healthcare Provider,29517.0,2025-12-09,2025,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
Ochsner LSU Health – Regional Urology,LA,Healthcare Provider,4519.0,2025-12-09,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
TriCity Family Services,IL,Healthcare Provider,2511.0,2025-12-08,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"Vida Y Salud-Health Systems, Inc.",TX,Healthcare Provider,35236.0,2025-12-08,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
AgeRight Clinical Services,OR,Healthcare Provider,4859.0,2025-12-05,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Columbia Medical Practice,MD,Healthcare Provider,94131.0,2025-12-05,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
Greater St. Louis Oral & Maxillofacial Surgery PC,MO,Healthcare Provider,501.0,2025-12-04,2025,Hacking/IT Incident,Hacking/IT Incident,Email,No,Under Investigation,0
"Fieldtex Products, Inc.",NY,Business Associate,5901.0,2025-12-03,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Fieldtex Products, Inc.",NY,Business Associate,9206.0,2025-12-03,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"Fieldtex Products, Inc.",NY,Business Associate,20641.0,2025-12-03,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
"MedStar Health, Inc.",MD,Healthcare Provider,64332.0,2025-12-03,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
"West Texas Health, PLLC",TX,Business Associate,73720.0,2025-12-02,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Madison Healthcare Services,MN,Healthcare Provider,500.0,2025-12-02,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
FedEx Corporation Group Health Plan,TN,Health Plan,1066.0,2025-12-01,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,2
Cerenade,CA,Business Associate,987.0,2025-11-30,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Under Investigation,3
Richmond Behavioral Health Authority,VA,Healthcare Provider,113232.0,2025-11-28,2025,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Under Investigation,0
