Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
Community Medical Centers,CA,Healthcare Provider,43667.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Hebrew SeniorLife, Inc.",MA,Healthcare Provider,27244.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Riverside Health System,VA,Healthcare Provider,54151.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Piedmont Healthcare, Inc.",GA,Healthcare Provider,111588.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Adventist HealthCare,MD,Healthcare Provider,13041.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Southern Indian Health Council, Inc.",CA,Healthcare Provider,727.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Medical University of South Carolina,SC,Healthcare Provider,54869.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Specialized Alternatives for Families & Youth of America, Inc.",OH,Business Associate,58123.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
"Community Health Network, Inc.",IN,Healthcare Provider,81118.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Children's Minnesota,MN,Healthcare Provider,160268.0,2020-09-11,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Total Urology Care of New York PLLC,NY,Healthcare Provider,17000.0,2020-09-10,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
Enloe Medical Center,CA,Healthcare Provider,33575.0,2020-09-10,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
SCL Health – Colorado,CO,Healthcare Provider,343493.0,2020-09-10,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
SCL Health – Montana,CO,Healthcare Provider,93642.0,2020-09-10,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
SCL Health – Kansas,CO,Healthcare Provider,3845.0,2020-09-10,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Mental Health Center of Boulder County Inc. dba Mental Health Partners,CO,Healthcare Provider,2650.0,2020-09-09,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Defense Health Headquarters,VA,Health Plan,1620.0,2020-09-09,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
Inova Health System,VA,Healthcare Provider,1045270.0,2020-09-09,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Baylor College of Medicine,TX,Healthcare Provider,4586.0,2020-09-09,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
University of Kentucky HealthCare,KY,Healthcare Provider,163774.0,2020-09-08,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Virginia Mason Medical Center,WA,Healthcare Provider,244761.0,2020-09-08,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
The Guthrie Clinic,PA,Healthcare Provider,92064.0,2020-09-08,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Lycoming-Clinton Joinder Board Programs,PA,Business Associate,3905.0,2020-09-08,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
Roper st. Francis Healthcare,SC,Healthcare Provider,92963.0,2020-09-08,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Starling Physicians, PC",CT,Healthcare Provider,7777.0,2020-09-04,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
